tablenames,tablevars,mstarpre,mstardir,rvdasmsg,tableunts,longnames,mstarvars,mstarunts
posmv_pashr,"time,utctime,heading,roll,pitch,heave,rollaccuracy,pitchaccuracy,headingaccuracy",posmv,nav,pashr," , , , , , , , , "," , ,Course Over Ground True,Roll,Pitch,Pitch, , , ","time,utctime,heading,roll,pitch,heave,rollaccuracy,pitchaccuracy,headingaccuracy"," ,hhmmss_fff, , , , , , , "
ranger2usbl_psonlld,"time,utctime,id,lat,lon,depth,horerrmajor,horrerrminor,deptherror,optionalspec,opt1,opt2,opt3",ranger2usbl,subsurface,psonlld," , , ,decimal degrees,decimal degrees,metres, , , , , , , ","" "," ","ID of tracked object in the case of beacon, beacon address","Latitude","Longitude","Depth"," "," "," "," ","Optional field 1","Optional field 2","Optional field 3"","time,utctime,id,lat,lon,depth,horerrmajor,horrerrminor,deptherror,optionalspec,opt1,opt2,opt3"," ,hhmmss_fff, ,decimal degrees,decimal degrees,metres, , , , , , , "
sbe38dk_sbe38,"time,tempdk",sbe38dk,met,sbe38," ,degrees Celcius","","time,tempdk"," ,"
sbe45_nanan,"time,temph,conductivity,salinity,soundvelocity,tempr",sbe45,met,nanan," , , , , , ","","time,temph,conductivity,salinity,soundvelocity,tempr"," , , , , , "
seapathatt_psxn23,"time,roll,pitch,heading,heave",seapathatt,nav,psxn23," , , , , "," ,Roll,Pitch,Sensor heading,Heave","time,roll,pitch,heading,heave"," , , , , "
seapathpos_ingga,"time,utctime,latitude,latdir,longitude,londir,altitude",seapathpos,nav,ingga," , , , , , , "," , ,Latitude, ,Longitude, ,Antenna altitude above mean sea level","time,utctime,latitude,latdir,longitude,londir,altitude"," ,hhmmss_fff, , , , , "
seapathpos_inhdt,"time,headingtrue",seapathpos,nav,inhdt," , "," , ","time,headingtrue"," , "
seapathpos_invtg,"time,courseoverground,speedknots,speedkmph",seapathpos,nav,invtg," , , , "," , , , ","time,courseoverground,speedknots,speedkmph"," , , , "
shipsgyro_hehdt,"time,headingtrue",shipsgyro,nav,hehdt," , "," , ","time,headingtrue"," , "
skipperlog_vdvbw,"time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed",skipperlog,speed,vdvbw," , , , , "," , , , , ","time,longitudinalwaterspeed,transversewaterspeed,longitudinalgroundspeed,transversegroundspeed"," , , , , "
surfmet_gpxsm,"time,flow1,tempdk,flow3,fluo,trans,windspeed,winddirection,airtemperature,humidity,airpressure,parport,parstarboard,tirport,tirstarboard",surfmet,met,gpxsm," , ,degrees Celcius, , , , , , , , , , , , "," ,flowRate,dropkeel SBE38 water temperature in celsius,,fluorescence,Transmissivity, , , , , , , , , ","time,flow1,tempdk,flow3,fluo,trans,windspeed,winddirection,airtemperature,humidity,airpressure,parport,parstarboard,tirport,tirstarboard"," , ,, , , , , , , , , , , , "
surfmet_sfuwy,"time,flow",surfmet,met,sfuwy," , ","","time,flow"," , "
winch_winch,"time,tension,cableout,rate,backtension,rollangle",winch,subsurface,winch," , , , , , "," ,Tension - Load on the cable, ,Cable rate, , ","time,tension,cableout,rate,backtension,rollangle"," , , , , , "
windsonic_iimwv,"time,winddirection,windspeed",windsonic,met,iimwv," , , "," , , ","time,winddirection,windspeed"," , , "
